-50,-50,30,80
-50,-40,30,80
-50,-50,30,70
-50,-50,30,70
-40,-50,30,70
-40,-50,30,70
-40,-50,30,70
-40,-50,20,70
-40,-50,20,70
-30,-50,30,60
-20,-50,30,60
-20,-50,40,70
-30,-40,40,70
-30,-40,50,70
-30,-50,60,80
-30,-50,60,80
-20,-50,60,80
-20,-40,50,70
-30,-40,50,70
-20,-40,50,70
-20,-40,50,70
-10,-40,50,70
-10,-40,50,70
-20,-40,50,70
-30,-40,40,70
-30,-40,40,70
-30,-50,50,80
-10,-50,40,70
-10,-50,40,70
-0,-50,40,70
-10,-50,50,70
-10,-60,50,70
-10,-50,40,70
-20,-10,40,60
-20,-20,40,60
-10,-20,40,60
-10,-10,40,60
-20,-10,30,60
-20,-10,30,60
-10,-10,40,60
-10,-10,40,60
-20,-10,40,60
-30,10,40,60
-40,20,40,60
-20,-0,40,60
-30,20,40,50
-30,10,40,50
-30,10,50,60
-30,10,40,50
-30,20,40,50
-20,10,50,60
-20,20,50,60
-30,10,50,60
-30,20,50,60
-30,10,60,70
-30,20,50,60
-40,10,50,60
-50,10,40,60
-70,10,40,90
-70,0,40,80
-70,10,40,80
-60,10,50,80
-70,10,50,80
-60,10,60,90
-60,20,60,90
-60,20,60,90
-70,20,50,90
-60,20,50,90
-70,30,50,90
-20,-10,50,80
-10,-10,50,70
-0,-10,50,70
-0,-20,50,80
